run_id,condition,repeat_index,status,identity,object,style,environment,hallucination,notes
68,Orthogonal Views Only - Dynamic Action Baseline,0,succeeded,,,,,,
50,Orthogonal Views Only - Dynamic Action Baseline,0,failed,,,,,,
20,Orthogonal Views Only - Dynamic Action Baseline,0,failed,,,,,,
62,Orthogonal Views Only - Dynamic Action Baseline,0,succeeded,,,,,,
56,Orthogonal Views Only - Dynamic Action Baseline,0,failed,,,,,,
38,Orthogonal Views Only - Dynamic Action Baseline,0,failed,,,,,,
44,Orthogonal Views Only - Dynamic Action Baseline,0,failed,,,,,,
21,Orthogonal Views Only - Dynamic Action Baseline,1,failed,,,,,,
22,Orthogonal Views Only - Dynamic Action Baseline,2,failed,,,,,,
45,5th View: 3/4 Back View - Dynamic Action,0,failed,,,,,,
57,5th View: 3/4 Back View - Dynamic Action,0,failed,,,,,,
51,5th View: 3/4 Back View - Dynamic Action,0,failed,,,,,,
39,5th View: 3/4 Back View - Dynamic Action,0,failed,,,,,,
23,5th View: 3/4 Back View - Dynamic Action,0,failed,,,,,,
69,5th View: 3/4 Back View - Dynamic Action,0,succeeded,,,,,,
63,5th View: 3/4 Back View - Dynamic Action,0,succeeded,,,,,,
24,5th View: 3/4 Back View - Dynamic Action,1,failed,,,,,,
25,5th View: 3/4 Back View - Dynamic Action,2,failed,,,,,,
26,5th View: Face Close-up (Angry) - Expression Focus,0,failed,,,,,,
70,5th View: Face Close-up (Angry) - Expression Focus,0,succeeded,,,,,,
46,5th View: Face Close-up (Angry) - Expression Focus,0,failed,,,,,,
40,5th View: Face Close-up (Angry) - Expression Focus,0,failed,,,,,,
58,5th View: Face Close-up (Angry) - Expression Focus,0,failed,,,,,,
64,5th View: Face Close-up (Angry) - Expression Focus,0,succeeded,,,,,,
52,5th View: Face Close-up (Angry) - Expression Focus,0,failed,,,,,,
27,5th View: Face Close-up (Angry) - Expression Focus,1,failed,,,,,,
28,5th View: Face Close-up (Angry) - Expression Focus,2,failed,,,,,,
41,5th View: Face Close-up (Smiling) - Expression Focus,0,failed,,,,,,
65,5th View: Face Close-up (Smiling) - Expression Focus,0,succeeded,,,,,,
29,5th View: Face Close-up (Smiling) - Expression Focus,0,failed,,,,,,
47,5th View: Face Close-up (Smiling) - Expression Focus,0,failed,,,,,,
71,5th View: Face Close-up (Smiling) - Expression Focus,0,succeeded,,,,,,
53,5th View: Face Close-up (Smiling) - Expression Focus,0,failed,,,,,,
59,5th View: Face Close-up (Smiling) - Expression Focus,0,failed,,,,,,
30,5th View: Face Close-up (Smiling) - Expression Focus,1,failed,,,,,,
31,5th View: Face Close-up (Smiling) - Expression Focus,2,failed,,,,,,
48,5th View: Dynamic Full Body Pose - Complex Action,0,failed,,,,,,
72,5th View: Dynamic Full Body Pose - Complex Action,0,succeeded,,,,,,
54,5th View: Dynamic Full Body Pose - Complex Action,0,failed,,,,,,
66,5th View: Dynamic Full Body Pose - Complex Action,0,succeeded,,,,,,
32,5th View: Dynamic Full Body Pose - Complex Action,0,failed,,,,,,
42,5th View: Dynamic Full Body Pose - Complex Action,0,failed,,,,,,
60,5th View: Dynamic Full Body Pose - Complex Action,0,failed,,,,,,
33,5th View: Dynamic Full Body Pose - Complex Action,1,failed,,,,,,
34,5th View: Dynamic Full Body Pose - Complex Action,2,failed,,,,,,
55,Wider Portrait With Armor,0,failed,,,,,,
43,Wider Portrait With Armor,0,failed,,,,,,
35,Wider Portrait With Armor,0,failed,,,,,,
49,Wider Portrait With Armor,0,failed,,,,,,
61,Wider Portrait With Armor,0,failed,,,,,,
67,Wider Portrait With Armor,0,succeeded,,,,,,
73,Wider Portrait With Armor,0,succeeded,,,,,,
36,Wider Portrait With Armor,1,failed,,,,,,
37,Wider Portrait With Armor,2,failed,,,,,,
